GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exam_zk,ie.gmit,EmployeeList,40,0,0,0,16,0,9,0,9,0
exam_zk,ie.gmit,Employee,0,105,3,15,0,30,3,16,0,10
